LeeAML_Drug_Name	Alternate_Name	Target_Genes
Pemetrexed	Alimta, LY231514	TYMS;ATIC;DHFR;GART;TMP1;ALB;SLC22A8;SLC19A1;SLC46A1;ABCG2;ABCC5;SLC22A6;SLC22A11
Pentostatin		ADA
PF-04217903		MET
PF-04449913		SMO;MTOR;ALB;ABCB1;ABCG2;SLC47A1;SLC47A2
PF-04691502		PIK3CG;MTOR
PHA-793887		CDK1;CDK4;CDK2
PIK-75		PIK3CB;PIK3CG;PRKDC
PIK-90		PIK3CA; PIK3CG; PIK3CD; PIK3C2A; PRKDC
PKI-587	PF-05212384	PIK3CG;MTOR
Pp-242		MTOR
Pravastatin		HMGCR;HDAC2;SLCO1B1;SLCO2B1;ABCB1;SLCO1A2;SLC22A6;SLC22A8;ABCC2;SLC22A11;ABCG2;SLC22A7;SLC16A1;ABCB11;SLCO1B3
RDEA-119	BAY-869766	MAP2K1; MAP2K2	
R-roscovitine	Seliciclib, CYC202	CDK2;CDK7;CDK1;MAPK3;MAPK1;CDK9;CSNK1E
SB 218078		CHEK1
SGI-1776		PIM1; PIM2; PIM3; FLT3
Tamibarotene		RARA;RARB;CRABP1
Tamoxifen		ESR1;ESR2;SHBG;EBP;AR;KCNH2;NR1I2;ESRRG;MAPK8;ALB;SERPINA7;ABCB1;ABCG2;ABCC2
Temozolomide	Temodar	MGMT; MLH1; MSH2; MSH6
Temsirolimus	Torisel/ CCI-779	MTOR;ABCB1
TG-101348		JAK2;FLT3;JAK1
TGX-221		PIK3CB		
Thalidomide	Thalomid	CRBN;TNF;CYP1A1;CYP2B6
Thioguanine	Tabloid	HPRT1; TPMT; NUDT15; IMPDH1; IMPDH2	
Tipifarnib		FNTB;FDPS;FNTA;ABCB1
Topotecan HCl		TOP1;TOP1MT;ABCG2;ABCB1;SLC47A1;SLC47A2
Tosedostat	CHR-2797	NPEPPS;LTA4H
TPCA-1		IKBKB; STAT3
Tretinoin		RARA;RARB;RARG;RXRB;RXRG;RXRA;CRABP1;RARRES1;ALDH1A1;ALDH1A2;GPRC5A;LCN1;OBP2A;RBP4;PDK4;CRABP1;CRABP2;ALB
Valproic acid		HDAC9;GSK3A;ABAT;ACADSB;OGDH;ALDH5A1;HDAC2;PPARA;PPARD;PPARG;CDKN1A;HGF;HGF;CD274;SLC22A6;ALB;SLC22A8;SLC22A5;SLC16A1;SLC22A7;SLCO2B1
Vinblastine sulfate		TUBA1A;TUBB;TUBD1;TUBG1;TUBE1;TUBB2A;JUN;ABCB1;ABCC1;ABCC2;ABCC6;ABCB11;SLCO1B1
Vincristine sulfate		TUBB;TUBA4A;ABCB1;ABCC3;SLC22A3;ABCC1;ABCC10;ABCC2;ABCB11;ABCG2;RALBP1;SLCO1B1;SLCO1B3
Vinorelbine tartrate	Navelbine	TUBB;MAPK1;BCL2;MAP4
Vorinostat	Zolinza	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8
XL-147	SAR245408	PIK3CA;PIK3CG
ZSTK-474		PIK3CG
Otava0107839108			
Otava 1112092		CDK4; CDK6
Otava 7015980251		
Otava 7020402324		
PHPS1		PTPN11
U-73122		PLCB2; ALOX5; TRPA1
