Column_Label,Type,Keep_or_Remove
TCF3,Gene_Expr,Keep
PRKACA,Gene_Expr,Keep
TFRC,Gene_Expr,Keep
AFF4,Gene_Expr,Keep
SMC1A.x,Gene_Expr,Keep
FCGR2B,Gene_Expr,Keep
TP63,Gene_Expr,Keep
SDHA,Gene_Expr,Keep
SMARCE1,Gene_Expr,Keep
KDM5A,Gene_Expr,Keep
IGF2BP2,Gene_Expr,Keep
MAP3K13,Gene_Expr,Keep
PICALM,Gene_Expr,Keep
EED.x,Gene_Expr,Keep
ARHGEF10L.x,Gene_Expr,Keep
MLH1,Gene_Expr,Keep
NT5C2,Gene_Expr,Keep
NFKB2,Gene_Expr,Keep
FGFR1,Gene_Expr,Keep
ARAF,Gene_Expr,Keep
N4BP2,Gene_Expr,Keep
HOXA9,Gene_Expr,Keep
MLLT10,Gene_Expr,Keep
PCM1,Gene_Expr,Keep
CIC,Gene_Expr,Keep
DNM2,Gene_Expr,Keep
KEAP1,Gene_Expr,Keep
HSP90AA1,Gene_Expr,Keep
PTPRC,Gene_Expr,Keep
ERC1,Gene_Expr,Keep
XPO1,Gene_Expr,Keep
PALB2,Gene_Expr,Keep
KAT6A,Gene_Expr,Keep
CYLD,Gene_Expr,Keep
FAT1,Gene_Expr,Keep
NCOA1,Gene_Expr,Keep
BCORL1.x,Gene_Expr,Keep
ATRX,Gene_Expr,Keep
MECOM,Gene_Expr,Keep
EPS15,Gene_Expr,Keep
BAX,Gene_Expr,Keep
GNAS.x,Gene_Expr,Keep
CNOT3,Gene_Expr,Keep
GNA11,Gene_Expr,Keep
FUS,Gene_Expr,Keep
CD209,Gene_Expr,Keep
FH,Gene_Expr,Keep
ESR1,Gene_Expr,Keep
EZR,Gene_Expr,Keep
MSH2.x,Gene_Expr,Keep
MAP3K1,Gene_Expr,Keep
HSP90AB1,Gene_Expr,Keep
JAK2.x,Gene_Expr,Keep
ABL1,Gene_Expr,Keep
LZTR1,Gene_Expr,Keep
SMARCB1,Gene_Expr,Keep
MAPK1,Gene_Expr,Keep
PATZ1,Gene_Expr,Keep
PDGFB,Gene_Expr,Keep
MYH9,Gene_Expr,Keep
EP300.x,Gene_Expr,Keep
NIN,Gene_Expr,Keep
HIF1A,Gene_Expr,Keep
DICER1,Gene_Expr,Keep
TCL1A,Gene_Expr,Keep
CCNB1IP1,Gene_Expr,Keep
TRIP11,Gene_Expr,Keep
ARHGAP5,Gene_Expr,Keep
NFATC2,Gene_Expr,Keep
SALL4.x,Gene_Expr,Keep
PTK6,Gene_Expr,Keep
CRNKL1,Gene_Expr,Keep
STAG2.x,Gene_Expr,Keep
ELF4,Gene_Expr,Keep
GATA1,Gene_Expr,Keep
CTCF.x,Gene_Expr,Keep
AXIN1,Gene_Expr,Keep
TSC2,Gene_Expr,Keep
IL21R,Gene_Expr,Keep
NBN,Gene_Expr,Keep
IKBKB,Gene_Expr,Keep
EIF3E,Gene_Expr,Keep
NDRG1,Gene_Expr,Keep
UBR5.x,Gene_Expr,Keep
LEPROTL1,Gene_Expr,Keep
ARHGEF10.x,Gene_Expr,Keep
ERCC2,Gene_Expr,Keep
LYL1,Gene_Expr,Keep
CCNE1,Gene_Expr,Keep
AKT2,Gene_Expr,Keep
CD79A,Gene_Expr,Keep
PPP2R1A,Gene_Expr,Keep
TFPT,Gene_Expr,Keep
JAK3.x,Gene_Expr,Keep
ELL,Gene_Expr,Keep
CRTC1,Gene_Expr,Keep
CDK6,Gene_Expr,Keep
MET,Gene_Expr,Keep
HOXA13,Gene_Expr,Keep
EZH2.x,Gene_Expr,Keep
SFRP4,Gene_Expr,Keep
GATA3,Gene_Expr,Keep
BMPR1A,Gene_Expr,Keep
CPEB3,Gene_Expr,Keep
SUFU,Gene_Expr,Keep
LARP4B,Gene_Expr,Keep
CCDC6,Gene_Expr,Keep
MLLT6,Gene_Expr,Keep
RNF43,Gene_Expr,Keep
DDX5,Gene_Expr,Keep
COL1A1,Gene_Expr,Keep
HLF,Gene_Expr,Keep
PRKAR1A,Gene_Expr,Keep
YWHAE,Gene_Expr,Keep
CHIC2,Gene_Expr,Keep
FBXW7,Gene_Expr,Keep
ZBTB16,Gene_Expr,Keep
CCND1,Gene_Expr,Keep
DDX6,Gene_Expr,Keep
CBL.x,Gene_Expr,Keep
CARS,Gene_Expr,Keep
NUP98.x,Gene_Expr,Keep
POU2AF1,Gene_Expr,Keep
PPFIBP1,Gene_Expr,Keep
PRPF40B,Gene_Expr,Keep
BCL7A,Gene_Expr,Keep
GLI1,Gene_Expr,Keep
SH2B3,Gene_Expr,Keep
ALDH2,Gene_Expr,Keep
CDKN1B,Gene_Expr,Keep
CHD4,Gene_Expr,Keep
PTPN6,Gene_Expr,Keep
FANCE,Gene_Expr,Keep
SRSF3,Gene_Expr,Keep
CCNC,Gene_Expr,Keep
QKI,Gene_Expr,Keep
TFEB,Gene_Expr,Keep
CCND3.x,Gene_Expr,Keep
ITK,Gene_Expr,Keep
DROSHA,Gene_Expr,Keep
GOLPH3,Gene_Expr,Keep
SUB1,Gene_Expr,Keep
LIFR,Gene_Expr,Keep
PDGFRB,Gene_Expr,Keep
BCL6,Gene_Expr,Keep
TFG,Gene_Expr,Keep
CBLB,Gene_Expr,Keep
FOXP1,Gene_Expr,Keep
ACVR1,Gene_Expr,Keep
SF3B1.x,Gene_Expr,Keep
BIRC6,Gene_Expr,Keep
STRN,Gene_Expr,Keep
EPAS1,Gene_Expr,Keep
NFE2L2,Gene_Expr,Keep
MSH6,Gene_Expr,Keep
BCL9,Gene_Expr,Keep
RPL22,Gene_Expr,Keep
SFPQ,Gene_Expr,Keep
PRDM2,Gene_Expr,Keep
MYCL,Gene_Expr,Keep
AKT3,Gene_Expr,Keep
SDHB,Gene_Expr,Keep
ID3,Gene_Expr,Keep
MPL.x,Gene_Expr,Keep
ARID1A,Gene_Expr,Keep
STAG1.x,Gene_Expr,Keep
STK11,Gene_Expr,Keep
KMT2A,Gene_Expr,Keep
CREB1,Gene_Expr,Keep
TNFAIP3,Gene_Expr,Keep
MYB.x,Gene_Expr,Keep
SGK1,Gene_Expr,Keep
FOXO3,Gene_Expr,Keep
CCND2,Gene_Expr,Keep
SET,Gene_Expr,Keep
CNTRL,Gene_Expr,Keep
PPP6C,Gene_Expr,Keep
NR4A3,Gene_Expr,Keep
CSF3R.x,Gene_Expr,Keep
KDSR,Gene_Expr,Keep
DNMT3A.x,Gene_Expr,Keep
BCL11A,Gene_Expr,Keep
CD274,Gene_Expr,Keep
KCNJ5,Gene_Expr,Keep
SPOP,Gene_Expr,Keep
CEP89,Gene_Expr,Keep
ZMYM2,Gene_Expr,Keep
PIK3CA,Gene_Expr,Keep
CXCR4,Gene_Expr,Keep
ACVR2A,Gene_Expr,Keep
FLT3.x,Gene_Expr,Keep
RPL5,Gene_Expr,Keep
PMS2,Gene_Expr,Keep
HNRNPA2B1,Gene_Expr,Keep
FKBP9,Gene_Expr,Keep
KIAA1549.x,Gene_Expr,Keep
TRIM24,Gene_Expr,Keep
CDKN2C,Gene_Expr,Keep
ATF1,Gene_Expr,Keep
STIL,Gene_Expr,Keep
ACSL3,Gene_Expr,Keep
SDC4,Gene_Expr,Keep
PLCG1,Gene_Expr,Keep
USP9X.x,Gene_Expr,Keep
HIST1H3B,Gene_Expr,Keep
CDKN1A,Gene_Expr,Keep
DEK,Gene_Expr,Keep
SEPT6,Gene_Expr,Keep
PAX8,Gene_Expr,Keep
MAX,Gene_Expr,Keep
KDM5C.x,Gene_Expr,Keep
CCR7,Gene_Expr,Keep
BCL2L12,Gene_Expr,Keep
SBDS,Gene_Expr,Keep
ZNF384,Gene_Expr,Keep
KTN1,Gene_Expr,Keep
NUP214,Gene_Expr,Keep
MAP2K2,Gene_Expr,Keep
BCL11B,Gene_Expr,Keep
PTPRB,Gene_Expr,Keep
SMARCA4,Gene_Expr,Keep
AKAP9,Gene_Expr,Keep
HIP1,Gene_Expr,Keep
KDR,Gene_Expr,Keep
DGCR8,Gene_Expr,Keep
SPECC1,Gene_Expr,Keep
POT1,Gene_Expr,Keep
SMO,Gene_Expr,Keep
KNSTRN,Gene_Expr,Keep
USP6,Gene_Expr,Keep
FOXA1,Gene_Expr,Keep
CBFA2T3,Gene_Expr,Keep
MLLT1,Gene_Expr,Keep
MNX1,Gene_Expr,Keep
CLIP1,Gene_Expr,Keep
ZNF331,Gene_Expr,Keep
LATS1,Gene_Expr,Keep
TRAF7,Gene_Expr,Keep
RARA,Gene_Expr,Keep
DNAJB1,Gene_Expr,Keep
RAF1,Gene_Expr,Keep
PPARG,Gene_Expr,Keep
H3F3B,Gene_Expr,Keep
MUTYH,Gene_Expr,Keep
CASP9,Gene_Expr,Keep
MYH11,Gene_Expr,Keep
BTG1,Gene_Expr,Keep
KRAS.x,Gene_Expr,Keep
MEN1,Gene_Expr,Keep
VHL,Gene_Expr,Keep
NOTCH2,Gene_Expr,Keep
MYCN,Gene_Expr,Keep
IL6ST,Gene_Expr,Keep
CDC73,Gene_Expr,Keep
DDB2,Gene_Expr,Keep
PDGFRA,Gene_Expr,Keep
ERCC5,Gene_Expr,Keep
APC,Gene_Expr,Keep
TBX3,Gene_Expr,Keep
LMO2,Gene_Expr,Keep
CDK4,Gene_Expr,Keep
ACVR1B,Gene_Expr,Keep
TEC,Gene_Expr,Keep
MDM2,Gene_Expr,Keep
TMEM127,Gene_Expr,Keep
USP44,Gene_Expr,Keep
LCP1,Gene_Expr,Keep
RAC1,Gene_Expr,Keep
BRIP1,Gene_Expr,Keep
KAT7,Gene_Expr,Keep
ABI1,Gene_Expr,Keep
KLF4,Gene_Expr,Keep
XPA,Gene_Expr,Keep
MYC.x,Gene_Expr,Keep
PIM1,Gene_Expr,Keep
IRF4,Gene_Expr,Keep
HMGA1,Gene_Expr,Keep
NUMA1,Gene_Expr,Keep
FBXO11,Gene_Expr,Keep
CYP2C8,Gene_Expr,Keep
NCOA4,Gene_Expr,Keep
TET1.x,Gene_Expr,Keep
ATIC,Gene_Expr,Keep
BARD1,Gene_Expr,Keep
IDH1.x,Gene_Expr,Keep
ITGAV,Gene_Expr,Keep
USP8,Gene_Expr,Keep
RAP1GDS1,Gene_Expr,Keep
LEF1,Gene_Expr,Keep
ETV6.x,Gene_Expr,Keep
ETNK1,Gene_Expr,Keep
COL2A1,Gene_Expr,Keep
BRCA2,Gene_Expr,Keep
RB1,Gene_Expr,Keep
SETD1B,Gene_Expr,Keep
TCF12,Gene_Expr,Keep
NCOA2,Gene_Expr,Keep
PML,Gene_Expr,Keep
POLG,Gene_Expr,Keep
NTRK3.x,Gene_Expr,Keep
CRTC3,Gene_Expr,Keep
ZFHX3,Gene_Expr,Keep
CDH11,Gene_Expr,Keep
NCOR1,Gene_Expr,Keep
CLTC,Gene_Expr,Keep
SS18,Gene_Expr,Keep
SMAD4,Gene_Expr,Keep
ERBB2,Gene_Expr,Keep
BRD4,Gene_Expr,Keep
VAV1,Gene_Expr,Keep
SH3GL1,Gene_Expr,Keep
AKT1,Gene_Expr,Keep
PRDM16,Gene_Expr,Keep
BCL10,Gene_Expr,Keep
SDHC,Gene_Expr,Keep
PRCC,Gene_Expr,Keep
ABL2,Gene_Expr,Keep
SETDB1,Gene_Expr,Keep
ARNT,Gene_Expr,Keep
TPM3,Gene_Expr,Keep
EML4,Gene_Expr,Keep
ASXL2,Gene_Expr,Keep
AFF3,Gene_Expr,Keep
ACKR3,Gene_Expr,Keep
FANCD2,Gene_Expr,Keep
LPP,Gene_Expr,Keep
MUC4,Gene_Expr,Keep
FIP1L1,Gene_Expr,Keep
PIK3R1,Gene_Expr,Keep
ARHGAP26,Gene_Expr,Keep
NFKBIE,Gene_Expr,Keep
EGFR,Gene_Expr,Keep
KDM6A,Gene_Expr,Keep
MSN,Gene_Expr,Keep
ZMYM3,Gene_Expr,Keep
NONO,Gene_Expr,Keep
GPC3,Gene_Expr,Keep
RPL10,Gene_Expr,Keep
RSPO2,Gene_Expr,Keep
NFIB,Gene_Expr,Keep
CDKN2A,Gene_Expr,Keep
NOTCH1,Gene_Expr,Keep
ZEB1,Gene_Expr,Keep
TCF7L2,Gene_Expr,Keep
ATM,Gene_Expr,Keep
HMGA2,Gene_Expr,Keep
LATS2,Gene_Expr,Keep
FOXO1,Gene_Expr,Keep
EXT2,Gene_Expr,Keep
VTI1A,Gene_Expr,Keep
FLI1,Gene_Expr,Keep
CYSLTR2,Gene_Expr,Keep
SETBP1.x,Gene_Expr,Keep
PTPRK,Gene_Expr,Keep
RAD17,Gene_Expr,Keep
RGPD3,Gene_Expr,Keep
RANBP2,Gene_Expr,Keep
PTPRD,Gene_Expr,Keep
JAZF1,Gene_Expr,Keep
MSI2,Gene_Expr,Keep
XPC,Gene_Expr,Keep
FLCN,Gene_Expr,Keep
GNAQ,Gene_Expr,Keep
PHF6.x,Gene_Expr,Keep
KAT6B.x,Gene_Expr,Keep
BUB1B,Gene_Expr,Keep
EIF4A2,Gene_Expr,Keep
NRG1,Gene_Expr,Keep
CACNA1D.x,Gene_Expr,Keep
KIT.x,Gene_Expr,Keep
ERG,Gene_Expr,Keep
CREB3L1,Gene_Expr,Keep
BRAF.x,Gene_Expr,Keep
TNFRSF14,Gene_Expr,Keep
SKI,Gene_Expr,Keep
FANCC,Gene_Expr,Keep
ELK4,Gene_Expr,Keep
SLC45A3,Gene_Expr,Keep
BTG2,Gene_Expr,Keep
FAM131B,Gene_Expr,Keep
ARHGAP35,Gene_Expr,Keep
U2AF1.x,Gene_Expr,Keep
RALGDS,Gene_Expr,Keep
LMNA,Gene_Expr,Keep
FGFR4,Gene_Expr,Keep
RECQL4,Gene_Expr,Keep
IKZF3,Gene_Expr,Keep
SRSF2.x,Gene_Expr,Keep
TAL1,Gene_Expr,Keep
JAK1,Gene_Expr,Keep
FUBP1,Gene_Expr,Keep
DDR2,Gene_Expr,Keep
RBM15,Gene_Expr,Keep
REL,Gene_Expr,Keep
H3F3A,Gene_Expr,Keep
ERCC3,Gene_Expr,Keep
ATP1A1,Gene_Expr,Keep
ELF3,Gene_Expr,Keep
TGFBR2,Gene_Expr,Keep
FBLN2.x,Gene_Expr,Keep
PTPN13,Gene_Expr,Keep
GMPS,Gene_Expr,Keep
RPN1,Gene_Expr,Keep
BAP1,Gene_Expr,Keep
PBRM1,Gene_Expr,Keep
CASP3,Gene_Expr,Keep
EBF1,Gene_Expr,Keep
TERT,Gene_Expr,Keep
ACSL6,Gene_Expr,Keep
HEY1,Gene_Expr,Keep
RAD21.x,Gene_Expr,Keep
COX6C,Gene_Expr,Keep
PSIP1,Gene_Expr,Keep
SYK,Gene_Expr,Keep
WNK2,Gene_Expr,Keep
FAT3,Gene_Expr,Keep
WRN,Gene_Expr,Keep
TSHR,Gene_Expr,Keep
CDX2,Gene_Expr,Keep
NSD1,Gene_Expr,Keep
TSC1,Gene_Expr,Keep
RET,Gene_Expr,Keep
PRKCB,Gene_Expr,Keep
B2M,Gene_Expr,Keep
NAB2,Gene_Expr,Keep
STAT6,Gene_Expr,Keep
SMAD3,Gene_Expr,Keep
CDK12,Gene_Expr,Keep
TPM4,Gene_Expr,Keep
KMT2D.x,Gene_Expr,Keep
SDHAF2,Gene_Expr,Keep
CTNNB1,Gene_Expr,Keep
FADD,Gene_Expr,Keep
PAFAH1B2,Gene_Expr,Keep
HOOK3,Gene_Expr,Keep
RFWD3,Gene_Expr,Keep
RHOH,Gene_Expr,Keep
FEN1,Gene_Expr,Keep
COL3A1,Gene_Expr,Keep
STAT3,Gene_Expr,Keep
AXIN2,Gene_Expr,Keep
IL7R,Gene_Expr,Keep
LRP1B,Gene_Expr,Keep
TET2.x,Gene_Expr,Keep
MAP2K1,Gene_Expr,Keep
AR,Gene_Expr,Keep
MN1,Gene_Expr,Keep
ZRSR2.x,Gene_Expr,Keep
PCBP1,Gene_Expr,Keep
ASPSCR1,Gene_Expr,Keep
CNBP,Gene_Expr,Keep
BRD3,Gene_Expr,Keep
PWWP2A,Gene_Expr,Keep
MGMT,Gene_Expr,Keep
KIF5B,Gene_Expr,Keep
CHCHD7,Gene_Expr,Keep
PPM1D,Gene_Expr,Keep
CANT1,Gene_Expr,Keep
CHST11,Gene_Expr,Keep
GPHN,Gene_Expr,Keep
CAMTA1,Gene_Expr,Keep
BCL2,Gene_Expr,Keep
MLLT3,Gene_Expr,Keep
PTEN,Gene_Expr,Keep
MALT1,Gene_Expr,Keep
CLP1,Gene_Expr,Keep
AFF1,Gene_Expr,Keep
TAF15,Gene_Expr,Keep
NBEA,Gene_Expr,Keep
MYD88,Gene_Expr,Keep
CHD2.x,Gene_Expr,Keep
EIF1AX,Gene_Expr,Keep
STAT5B,Gene_Expr,Keep
RNF213,Gene_Expr,Keep
CNTNAP2,Gene_Expr,Keep
HRAS,Gene_Expr,Keep
ATR,Gene_Expr,Keep
DDIT3,Gene_Expr,Keep
SMAD2,Gene_Expr,Keep
ERCC4,Gene_Expr,Keep
RMI2,Gene_Expr,Keep
ETV4,Gene_Expr,Keep
POLE,Gene_Expr,Keep
TBL1XR1.x,Gene_Expr,Keep
JUN,Gene_Expr,Keep
MLF1,Gene_Expr,Keep
PDE4DIP,Gene_Expr,Keep
DDX10,Gene_Expr,Keep
CD28,Gene_Expr,Keep
MAF,Gene_Expr,Keep
SUZ12.x,Gene_Expr,Keep
PER1,Gene_Expr,Keep
CALR.x,Gene_Expr,Keep
PTPN11.x,Gene_Expr,Keep
GATA2.x,Gene_Expr,Keep
HMGN2P46,Gene_Expr,Keep
GPC5,Gene_Expr,Keep
CIITA,Gene_Expr,Keep
APOBEC3B,Gene_Expr,Keep
MB21D2,Gene_Expr,Keep
PRF1,Gene_Expr,Keep
MUC16,Gene_Expr,Keep
POLR2A,Gene_Expr,Keep
SETD2.x,Gene_Expr,Keep
PLAG1,Gene_Expr,Keep
IDH2.x,Gene_Expr,Keep
CREB3L2,Gene_Expr,Keep
P2RY8,Gene_Expr,Keep
RAD51B,Gene_Expr,Keep
EXT1,Gene_Expr,Keep
FES,Gene_Expr,Keep
CSF1R,Gene_Expr,Keep
LCK,Gene_Expr,Keep
RBM10,Gene_Expr,Keep
EWSR1,Gene_Expr,Keep
FANCF,Gene_Expr,Keep
BCOR.x,Gene_Expr,Keep
ZNRF3,Gene_Expr,Keep
MACC1,Gene_Expr,Keep
CHEK2,Gene_Expr,Keep
CCR4,Gene_Expr,Keep
PRKD1,Gene_Expr,Keep
MAML2,Gene_Expr,Keep
SS18L1,Gene_Expr,Keep
FOXO4,Gene_Expr,Keep
MED12,Gene_Expr,Keep
SEPT9,Gene_Expr,Keep
AMER1,Gene_Expr,Keep
SEPT5,Gene_Expr,Keep
WT1.x,Gene_Expr,Keep
ROBO2,Gene_Expr,Keep
SOCS1,Gene_Expr,Keep
MUC1,Gene_Expr,Keep
PBX1,Gene_Expr,Keep
IKZF1.x,Gene_Expr,Keep
PTCH1,Gene_Expr,Keep
BCL9L,Gene_Expr,Keep
NF2,Gene_Expr,Keep
BCR,Gene_Expr,Keep
MITF,Gene_Expr,Keep
FNBP1,Gene_Expr,Keep
TCEA1,Gene_Expr,Keep
FANCA,Gene_Expr,Keep
NUTM2B,Gene_Expr,Keep
ARID2,Gene_Expr,Keep
FHIT,Gene_Expr,Keep
PAX5,Gene_Expr,Keep
FAT4,Gene_Expr,Keep
SRGAP3,Gene_Expr,Keep
TRRAP.x,Gene_Expr,Keep
NCOR2,Gene_Expr,Keep
NACA,Gene_Expr,Keep
NF1.x,Gene_Expr,Keep
ARHGEF12,Gene_Expr,Keep
FLNA,Gene_Expr,Keep
ZNF429,Gene_Expr,Keep
SRC,Gene_Expr,Keep
SND1,Gene_Expr,Keep
BLM,Gene_Expr,Keep
TRIM33,Gene_Expr,Keep
MYO5A,Gene_Expr,Keep
PDCD1LG2,Gene_Expr,Keep
MDS2,Gene_Expr,Keep
SIRPA,Gene_Expr,Keep
CARD11,Gene_Expr,Keep
HIST1H4I,Gene_Expr,Keep
NTRK1,Gene_Expr,Keep
CTNND1,Gene_Expr,Keep
BAZ1A,Gene_Expr,Keep
MDM4,Gene_Expr,Keep
MTOR,Gene_Expr,Keep
ZNF521,Gene_Expr,Keep
TOP1,Gene_Expr,Keep
MAFB,Gene_Expr,Keep
DAXX,Gene_Expr,Keep
SDHD,Gene_Expr,Keep
TRIM27,Gene_Expr,Keep
DCTN1,Gene_Expr,Keep
TMSB4X,Gene_Expr,Keep
CRLF2,Gene_Expr,Keep
OLIG2,Gene_Expr,Keep
HLA-A,Gene_Expr,Keep
FGFR1OP,Gene_Expr,Keep
MLLT11,Gene_Expr,Keep
NRAS.x,Gene_Expr,Keep
NCKIPSD,Gene_Expr,Keep
NUTM2D,Gene_Expr,Keep
MTCP1,Gene_Expr,Keep
DDX3X,Gene_Expr,Keep
FANCG,Gene_Expr,Keep
ETV5,Gene_Expr,Keep
CEBPA.x,Gene_Expr,Keep
MALAT1,Gene_Expr,Keep
LYN,Gene_Expr,Keep
LSM14A,Gene_Expr,Keep
CUX1,Gene_Expr,Keep
C15orf65,Gene_Expr,Keep
SLC4A1.x,Gene_Expr,Keep
THSD7A,Gene_Expr,Keep
PRSS21,Gene_Expr,Keep
PROM1,Gene_Expr,Keep
LTF,Gene_Expr,Keep
KDM5D,Gene_Expr,Keep
VCAN,Gene_Expr,Keep
DSG2,Gene_Expr,Keep
FOXC1,Gene_Expr,Keep
SNCAIP.x,Gene_Expr,Keep
DDX3Y,Gene_Expr,Keep
ZFY,Gene_Expr,Keep
GPC4,Gene_Expr,Keep
SPAG6,Gene_Expr,Keep
ADCY2,Gene_Expr,Keep
CEACAM6,Gene_Expr,Keep
ADAMTS2,Gene_Expr,Keep
MMP2,Gene_Expr,Keep
PHACTR3,Gene_Expr,Keep
CRISP3,Gene_Expr,Keep
PRKY,Gene_Expr,Keep
LGALS2,Gene_Expr,Keep
CHRDL1,Gene_Expr,Keep
OLFM4,Gene_Expr,Keep
MSLN,Gene_Expr,Keep
HOXA3,Gene_Expr,Keep
HOXA5,Gene_Expr,Keep
HOXA6,Gene_Expr,Keep
NPTX2,Gene_Expr,Keep
DNTT,Gene_Expr,Keep
CXCL12,Gene_Expr,Keep
HOXB6,Gene_Expr,Keep
CCL2,Gene_Expr,Keep
PPARGC1A,Gene_Expr,Keep
MDFI,Gene_Expr,Keep
PRLR,Gene_Expr,Keep
USP9Y,Gene_Expr,Keep
FN1,Gene_Expr,Keep
MMP8,Gene_Expr,Keep
NKX2-3,Gene_Expr,Keep
HOXB8,Gene_Expr,Keep
HOXB5,Gene_Expr,Keep
HOXB3,Gene_Expr,Keep
EPX,Gene_Expr,Keep
DPPA4,Gene_Expr,Keep
KIAA0087,Gene_Expr,Keep
HOXA7,Gene_Expr,Keep
CEACAM8,Gene_Expr,Keep
EREG,Gene_Expr,Keep
LAMP5,Gene_Expr,Keep
RPS4Y1,Gene_Expr,Keep
PXDN,Gene_Expr,Keep
TXLNG2P,Gene_Expr,Keep
BEX1,Gene_Expr,Keep
MYO18B,Gene_Expr,Keep
CA1,Gene_Expr,Keep
GSTM1,Gene_Expr,Keep
DSC2,Gene_Expr,Keep
THBS1,Gene_Expr,Keep
CDC42BPA,Gene_Expr,Keep
MEIS1,Gene_Expr,Keep
DDIT4L,Gene_Expr,Keep
ST18,Gene_Expr,Keep
LCN2,Gene_Expr,Keep
LPHN3,Gene_Expr,Keep
DOCK1,Gene_Expr,Keep
POU4F1,Gene_Expr,Keep
IGSF10,Gene_Expr,Keep
GJA1,Gene_Expr,Keep
PLEKHG4B,Gene_Expr,Keep
FGD5,Gene_Expr,Keep
PIEZO2,Gene_Expr,Keep
RBPMS,Gene_Expr,Keep
CLSTN2,Gene_Expr,Keep
ALAS2,Gene_Expr,Keep
HPGDS,Gene_Expr,Keep
DEFA4,Gene_Expr,Keep
DEFB1,Gene_Expr,Keep
CYYR1,Gene_Expr,Keep
SCN9A.x,Gene_Expr,Keep
AHSP,Gene_Expr,Keep
GYPA,Gene_Expr,Keep
CDH2,Gene_Expr,Keep
GTSF1,Gene_Expr,Keep
HOXB9,Gene_Expr,Keep
TRH,Gene_Expr,Keep
RXFP1,Gene_Expr,Keep
LAMB2,Gene_Expr,Keep
ARPP21,Gene_Expr,Keep
CSPG4,Gene_Expr,Keep
CD34,Gene_Expr,Keep
C20orf166-AS1,Gene_Expr,Keep
DPP10,Gene_Expr,Keep
KCNE1L,Gene_Expr,Keep
TTTY14,Gene_Expr,Keep
IRX5,Gene_Expr,Keep
LINC00982,Gene_Expr,Keep
IRX3,Gene_Expr,Keep
CDH4,Gene_Expr,Keep
MKRN3,Gene_Expr,Keep
SLITRK4,Gene_Expr,Keep
SAGE1,Gene_Expr,Keep
NDN,Gene_Expr,Keep
GPC6,Gene_Expr,Keep
WT1-AS,Gene_Expr,Keep
UTY,Gene_Expr,Keep
DLK1,Gene_Expr,Keep
PRAME,Gene_Expr,Keep
CD300E,Gene_Expr,Keep
COL4A5,Gene_Expr,Keep
HBA2,Gene_Expr,Keep
S100A16,Gene_Expr,Keep
PAX8-AS1,Gene_Expr,Keep
EIF1AY,Gene_Expr,Keep
CES1,Gene_Expr,Keep
ZFP57,Gene_Expr,Keep
CASC10,Gene_Expr,Keep
CD177,Gene_Expr,Keep
DEFA1,Gene_Expr,Keep
MEG3,Gene_Expr,Keep
AC016735.1,Gene_Expr,Keep
AL589743.1,Gene_Expr,Keep
AC091814.2,Gene_Expr,Keep
XIST,Gene_Expr,Keep
RP11-388P9.2,Gene_Expr,Keep
HOXB-AS3,Gene_Expr,Keep
AC104809.4,Gene_Expr,Keep
TTTY15,Gene_Expr,Keep
DEFA3,Gene_Expr,Keep
DEFA1B,Gene_Expr,Keep
HOXA11-AS,Gene_Expr,Keep
IL12A-AS1,Gene_Expr,Keep
